question,a,b,c,d,correct_answer,category
What is the capital city of France?,London,Berlin,Paris,Madrid,C,General Knowledge
Who is known as "The Rocket" in the sport of snooker?,Mark Selby,John Higgins,Ronnie O'Sullivan,Neil Robertson,C,Sports
What is the chemical symbol for gold?,Gd,Au,Hg,Ag,B,Science
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,Science
Who wrote the play "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Jane Austen,Emily BrontÃ«,A,General Knowledge
In which year did the first moon landing take place?,1965,1969,1972,1975,B,Science
Who won the FIFA World Cup in 2018?,Germany,Argentina,Brazil,France,D,Sports
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Lion,B,Science
Which country is famous for its tulips and windmills?,Italy,Netherlands,France,Spain,B,Netherlands,General Knowledge
What is the world's largest ocean?,Atlantic Ocean,Arctic Ocean,Indian Ocean,Pacific Ocean,D,Science
Who holds the record for the most Grand Slam singles titles in tennis?,Serena Williams,Rafael Nadal,Roger Federer,Novak Djokovic,C,Sports
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Endoplasmic Reticulum,B,Science
Which famous scientist developed the theory of relativity?,Isaac Newton,Stephen Hawking,Albert Einstein,Nikola Tesla,C,Science
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,C,Art and Culture
Which mountain is the highest in the world?,Mount Kilimanjaro,Mount Everest,Mount McKinley,Mount Fuji,B,Geography
In which sport would you perform a slam dunk?,Soccer,Tennis,Basketball,Baseball,C,Sports
What is the chemical symbol for water?,O2,H2O,CO2,N2,B,Science
Who is the lead singer of the band Queen?,Freddie Mercury,John Lennon,David Bowie,Mick Jagger,A,Music
Which element has the chemical symbol Fe?,Iron,Gold,Silver,Copper,A,Science
What is the largest planet in our solar system?,Earth,Jupiter,Mars,Saturn,B,Science
